age,work_class,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
40,Self-emp-not-inc,Masters,Separated,Professional,Husband,White,Male,0,0,50,United-States,>50K
36,State-gov,High School grad,Married,White-Collar,Husband,White,Male,7298,0,40,United-States,>50K
73,Local-gov,High School grad,Married,Blue-Collar,Own-child,White,Male,0,2440,40,United-States,<=50K
35,State-gov,High School grad,Separated,Service,Unmarried,White,Male,0,0,40,United-States,<=50K
34,Private,High School grad,Separated,Service,Unmarried,White,Female,0,0,25,United-States,<=50K
22,Local-gov,High School grad,Married,Blue-Collar,Wife,White,Male,0,0,40,United-States,<=50K
23,Private,Bachelors,Never-Married,Professional,Own-child,White,Female,0,0,40,*,<=50K
48,Self-emp-not-inc,*,Married,Blue-Collar,Unmarried,White,Male,14465,0,60,United-States,>50K
31,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,*,Separated,White-Collar,Not-in-family,Black,Female,0,0,50,United-States,>50K
32,Private,High School grad,Married,Other,Husband,White,Male,0,0,40,United-States,>50K
41,Private,Bachelors,Separated,White-Collar,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,Bachelors,Married,Professional,Unmarried,White,Female,0,0,32,United-States,<=50K
23,Private,Associates,Married,Blue-Collar,Not-in-family,Asian-Pac-Islander,Female,0,0,20,United-States,<=50K
39,Private,High School grad,Married,Professional,Husband,White,Male,0,0,40,United-States,<=50K
37,State-gov,High School grad,Separated,Admin,Unmarried,White,Female,0,0,12,*,<=50K
52,Self-emp-not-inc,High School grad,Never-Married,White-Collar,Unmarried,White,Female,0,0,38,United-States,<=50K
40,State-gov,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,0,0,25,United-States,<=50K
38,State-gov,High School grad,Separated,Blue-Collar,Husband,White,Male,0,0,54,United-States,>50K
37,Private,High School grad,Married,Blue-Collar,Husband,Asian-Pac-Islander,Male,0,0,99,United-States,>50K
44,Self-emp-inc,High School grad,Married,White-Collar,Wife,White,Male,0,0,60,United-States,>50K
27,Local-gov,High School grad,Never-Married,Other,Unmarried,Black,Male,0,0,40,United-States,<=50K
36,Self-emp-inc,Bachelors,Married,Sales,Husband,White,Male,15024,0,45,*,>50K
62,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,38,United-States,<=50K
35,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,Black,Male,0,0,99,United-States,<=50K
43,Private,*,Separated,Service,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,45,United-States,<=50K
42,Private,Dropout,Married,White-Collar,Husband,Black,Male,7298,0,50,United-States,>50K
26,Private,Bachelors,Never-Married,Other,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,High School grad,Separated,Admin,Unmarried,White,Female,0,0,35,United-States,<=50K
37,Self-emp-not-inc,Bachelors,Married,Blue-Collar,Husband,White,Male,0,0,65,United-States,>50K
26,Private,High School grad,Widowed,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,Bachelors,Married,Sales,Not-in-family,White,Male,14005,0,50,*,>50K
42,Private,Dropout,Separated,Professional,Husband,White,Male,0,0,40,United-States,>50K
37,Private,*,Married,Professional,Husband,White,Male,0,0,99,*,>50K
49,Private,High School grad,Separated,White-Collar,Not-in-family,Black,Female,0,0,40,United-States,<=50K
37,Private,High School grad,Married,White-Collar,Husband,White,Male,4065,0,45,United-States,>50K
26,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,High School grad,Never-Married,Admin,Not-in-family,Asian-Pac-Islander,Male,0,0,50,United-States,<=50K
35,Private,Associates,Never-Married,Service,Not-in-family,White,Male,0,0,38,*,<=50K
28,Private,High School grad,Married,Admin,Husband,White,Male,0,0,40,United-States,>50K
43,Self-emp-not-inc,Masters,Married,White-Collar,Unmarried,White,Male,0,0,50,United-States,>50K
36,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,White,Male,0,0,52,United-States,<=50K
29,State-gov,Associates,Never-Married,Professional,Not-in-family,White,Male,2875,0,40,United-States,<=50K
34,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,High School grad,Married,Sales,Husband,White,Male,0,0,23,United-States,<=50K
38,Private,High School grad,Separated,Admin,Own-child,White,Male,0,0,40,United-States,<=50K
35,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,60,United-States,<=50K
54,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,*,<=50K
27,Self-emp-not-inc,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,40,*,<=50K
31,Private,Bachelors,Married,White-Collar,Husband,White,Male,0,0,53,United-States,<=50K
31,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,40,*,>50K
38,Private,High School grad,Never-Married,Service,Own-child,Black,Female,0,0,40,United-States,<=50K
45,Private,Bachelors,Married,Blue-Collar,Husband,White,Male,15024,0,40,United-States,>50K
21,Private,High School grad,Never-Married,Admin,Own-child,Asian-Pac-Islander,Female,0,0,40,*,<=50K
43,Local-gov,High School grad,Separated,Sales,Wife,White,Male,0,0,40,United-States,>50K
35,Private,Masters,Never-Married,Professional,Not-in-family,White,Male,0,0,45,United-States,>50K
23,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Male,0,0,40,United-States,<=50K
60,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,Masters,Separated,White-Collar,Wife,White,Female,0,0,70,United-States,>50K
36,Self-emp-not-inc,High School grad,Never-Married,White-Collar,Own-child,White,Female,0,0,50,United-States,<=50K
54,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,40,*,<=50K
27,Private,Dropout,Married,Admin,Not-in-family,White,Male,0,0,40,United-States,<=50K
64,State-gov,Dropout,Widowed,Sales,Unmarried,White,Female,0,0,20,United-States,<=50K
47,Private,Bachelors,Never-Married,Admin,Not-in-family,White,Male,0,0,35,United-States,<=50K
33,Self-emp-not-inc,Bachelors,Married,Professional,Husband,Black,Male,0,0,25,United-States,>50K
46,Local-gov,Masters,Married,Admin,Husband,Asian-Pac-Islander,Male,0,0,38,United-States,>50K
26,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,65,United-States,<=50K
47,Private,Masters,Separated,Professional,Husband,White,Female,0,0,50,United-States,>50K
29,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
45,State-gov,Associates,Married,Professional,Husband,White,Male,0,0,60,United-States,>50K
30,Private,Bachelors,Widowed,Admin,Wife,White,Female,0,0,40,United-States,<=50K
49,Self-emp-not-inc,High School grad,Married,Sales,Husband,White,Male,0,0,50,United-States,>50K
50,Private,High School grad,Married,Blue-Collar,Unmarried,Black,Male,0,0,40,United-States,>50K
34,Private,Dropout,Separated,Blue-Collar,Not-in-family,Black,Male,0,0,54,United-States,<=50K
27,Private,High School grad,Married,Other,Husband,White,Male,1308,0,45,United-States,<=50K
46,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Female,0,0,38,United-States,<=50K
51,Private,High School grad,Married,Blue-Collar,Husband,Black,Male,0,0,48,United-States,<=50K
43,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,Dropout,Never-Married,Service,Own-child,Black,Male,0,0,20,United-States,<=50K
39,Local-gov,Masters,Married,Professional,Wife,White,Male,0,0,45,United-States,>50K
34,Local-gov,High School grad,Never-Married,White-Collar,Husband,White,Male,0,0,30,United-States,<=50K
33,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,40,*,<=50K
38,Private,Dropout,Never-Married,*,Unmarried,White,Male,0,3682,40,United-States,<=50K
39,Self-emp-not-inc,Associates,Separated,Professional,Unmarried,White,Female,4884,0,60,United-States,<=50K
38,Local-gov,Bachelors,Married,White-Collar,Husband,White,Male,0,0,42,United-States,>50K
27,Local-gov,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,40,United-States,<=50K
33,Private,High School grad,Married,White-Collar,Not-in-family,White,Male,0,0,50,United-States,<=50K
17,Private,Dropout,Never-Married,Service,Own-child,White,Male,0,0,12,*,<=50K
63,Private,High School grad,Married,Blue-Collar,Husband,White,Female,0,0,35,*,<=50K
18,Private,Associates,Never-Married,Service,Own-child,White,Male,0,0,20,United-States,<=50K
27,Private,High School grad,Separated,Blue-Collar,Husband,White,Female,0,0,50,United-States,<=50K
50,Self-emp-not-inc,High School grad,Married,Other,Wife,White,Male,0,0,40,United-States,>50K
32,Private,Bachelors,Married,Admin,Wife,White,Female,0,0,1,United-States,<=50K
41,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,40,United-States,>50K
24,Private,High School grad,Never-Married,Professional,Not-in-family,Black,Male,0,0,40,United-States,<=50K
24,Private,High School grad,Married,White-Collar,Husband,White,Male,7298,0,40,United-States,>50K
23,Private,High School grad,Never-Married,Sales,Not-in-family,Black,Female,0,0,40,United-States,<=50K
41,*,Dropout,Separated,Admin,Not-in-family,Black,Male,5067,0,40,*,<=50K
46,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,Asian-Pac-Islander,Female,0,0,50,United-States,<=50K
55,Self-emp-not-inc,High School grad,Widowed,Admin,Wife,White,Male,0,0,12,United-States,>50K
31,Private,Masters,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K
45,Private,Bachelors,Married,White-Collar,Not-in-family,White,Male,0,0,45,United-States,<=50K
43,Private,Bachelors,Married,Professional,Unmarried,White,Female,0,0,40,United-States,<=50K
38,Private,High School grad,Married,Professional,Husband,White,Male,0,0,50,United-States,>50K
58,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,50,United-States,<=50K
49,Local-gov,High School grad,Married,Admin,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,Associates,Married,Blue-Collar,Husband,White,Male,0,0,70,United-States,<=50K
28,Private,Bachelors,Married,Service,Husband,White,Male,0,0,42,United-States,<=50K
67,Self-emp-not-inc,High School grad,Widowed,Admin,Not-in-family,White,Female,0,0,30,United-States,<=50K
50,Local-gov,Associates,Married,Blue-Collar,Husband,White,Male,7687,0,40,United-States,>50K
21,Private,High School grad,Never-Married,Admin,Own-child,White,Female,0,0,20,United-States,<=50K
56,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,48,United-States,<=50K
56,Private,High School grad,Never-Married,Professional,Not-in-family,Asian-Pac-Islander,Female,0,0,45,*,<=50K
64,Private,Associates,Widowed,Admin,Husband,White,Male,5178,0,60,United-States,<=50K
47,Private,Bachelors,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K
21,Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,30,United-States,<=50K
27,Private,High School grad,Never-Married,Sales,Not-in-family,White,Male,0,0,70,United-States,<=50K
51,Local-gov,High School grad,Widowed,Service,Not-in-family,Black,Female,0,0,36,United-States,<=50K
57,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,>50K
46,Private,Bachelors,Married,Professional,Husband,White,Female,0,0,36,United-States,<=50K
20,Private,High School grad,Never-Married,Service,Unmarried,Black,Male,0,0,20,United-States,<=50K
50,Self-emp-not-inc,High School grad,Married,White-Collar,Unmarried,White,Male,0,0,40,United-States,>50K
43,Self-emp-not-inc,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,60,United-States,<=50K
20,State-gov,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,40,United-States,<=50K
33,Local-gov,Associates,Never-Married,Professional,Not-in-family,White,Female,0,0,45,United-States,<=50K
52,Local-gov,Masters,Married,White-Collar,Husband,White,Male,0,0,45,United-States,>50K
21,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,0,35,United-States,<=50K
39,Self-emp-not-inc,Masters,Married,Blue-Collar,Husband,White,Male,0,0,54,United-States,>50K
48,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
54,Private,High School grad,Separated,Blue-Collar,Not-in-family,Black,Male,0,0,45,United-States,>50K
72,Self-emp-inc,High School grad,Never-Married,Service,Not-in-family,White,Female,0,0,35,United-States,<=50K
51,Private,Associates,Married,Sales,Husband,White,Male,0,0,55,United-States,<=50K
47,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,5178,0,40,United-States,<=50K
25,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,0,0,45,*,<=50K
52,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,1886,45,United-States,>50K
36,Private,*,Never-Married,Professional,Not-in-family,White,Male,0,0,54,United-States,>50K
39,Private,Bachelors,Married,Blue-Collar,Wife,White,Male,0,0,40,United-States,>50K
43,State-gov,Bachelors,Separated,Other,Not-in-family,White,Male,0,0,35,United-States,<=50K
30,Private,Associates,Married,Service,Wife,White,Female,0,0,25,United-States,>50K
81,Self-emp-not-inc,*,Married,Service,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
26,Private,High School grad,Married,Admin,Wife,White,Female,0,0,40,United-States,<=50K
43,Private,High School grad,Separated,Admin,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,Masters,Married,Blue-Collar,Unmarried,White,Male,4514,0,24,United-States,<=50K
32,Private,High School grad,Married,Professional,Husband,White,Male,0,1977,99,United-States,>50K
25,State-gov,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,50,United-States,<=50K
19,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,0,0,38,United-States,<=50K
33,Local-gov,Masters,Never-Married,Professional,Not-in-family,Asian-Pac-Islander,Male,0,0,30,*,<=50K
52,State-gov,Masters,Married,Professional,Husband,White,Male,0,0,40,United-States,>50K
55,Private,Associates,Married,Admin,Husband,White,Male,0,0,25,United-States,<=50K
32,Private,High School grad,Married,Service,Own-child,Black,Female,0,0,40,United-States,<=50K
61,State-gov,Bachelors,Never-Married,Other,Husband,White,Male,0,0,20,United-States,<=50K
31,Local-gov,High School grad,Separated,Other,Not-in-family,White,Male,0,0,40,United-States,>50K
45,Private,Bachelors,Separated,Professional,Husband,White,Female,0,0,46,*,>50K
31,Private,Associates,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K
43,Private,High School grad,Married,Professional,Husband,White,Male,0,1977,40,United-States,>50K
49,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,50,United-States,>50K
18,Private,Dropout,Married,Blue-Collar,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,High School grad,Married,Service,Own-child,White,Female,0,0,25,United-States,<=50K
42,Private,High School grad,Separated,White-Collar,Wife,White,Female,0,0,40,United-States,>50K
59,Private,*,Married,Blue-Collar,Husband,White,Male,15024,0,50,United-States,>50K
45,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,High School grad,Never-Married,Admin,Own-child,White,Female,0,0,20,United-States,<=50K
21,Self-emp-not-inc,Dropout,Never-Married,Admin,Not-in-family,White,Female,0,0,25,United-States,<=50K
34,Private,High School grad,Separated,Admin,Unmarried,Black,Female,0,0,40,United-States,<=50K
30,Private,High School grad,Married,Other,Husband,White,Male,0,0,45,United-States,>50K
28,Private,Bachelors,Married,White-Collar,Husband,White,Male,0,0,45,United-States,<=50K
27,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,40,United-States,<=50K
54,Private,Bachelors,Married,Professional,Husband,White,Male,15024,0,30,United-States,>50K
39,Private,Associates,Married,Blue-Collar,Husband,White,Male,0,1977,45,*,>50K
42,Private,High School grad,Separated,Admin,Unmarried,White,Male,0,0,40,United-States,<=50K
25,Self-emp-not-inc,High School grad,Never-Married,Blue-Collar,Own-child,White,Female,0,0,50,United-States,<=50K
36,Private,High School grad,Married,Sales,Not-in-family,White,Male,9182,0,45,United-States,>50K
31,Private,Masters,Separated,Blue-Collar,Husband,White,Male,0,0,40,United-States,>50K
24,Private,Associates,Never-Married,Admin,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States,<=50K
34,Private,Dropout,Married,Service,Husband,White,Male,0,1886,40,United-States,>50K
34,Private,Bachelors,Separated,Professional,Unmarried,White,Female,0,0,40,United-States,>50K
42,Self-emp-not-inc,Masters,Married,Professional,Not-in-family,Black,Male,0,0,40,United-States,<=50K
43,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,State-gov,Bachelors,Never-Married,Other,Not-in-family,Black,Male,0,0,40,United-States,<=50K
23,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,40,United-States,<=50K
57,Private,High School grad,Married,White-Collar,Unmarried,White,Female,0,0,45,United-States,<=50K
40,Private,Bachelors,Never-Married,Professional,Husband,White,Male,0,0,40,United-States,<=50K
29,Local-gov,Dropout,Separated,Other,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,Private,High School grad,Married,Sales,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,High School grad,Married,White-Collar,Own-child,Black,Male,0,0,40,United-States,<=50K
33,Private,Bachelors,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
52,Private,High School grad,Widowed,Professional,Unmarried,White,Female,0,0,40,United-States,<=50K
49,Private,Associates,Married,Sales,Unmarried,White,Male,15024,0,60,United-States,>50K
38,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,0,0,60,United-States,>50K
41,Local-gov,Masters,Married,Other,Husband,White,Male,0,0,50,United-States,<=50K
34,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,40,*,>50K
61,Private,High School grad,Separated,Sales,Not-in-family,White,Male,0,0,25,*,<=50K
30,Private,High School grad,Married,Professional,Wife,White,Female,0,0,40,United-States,<=50K
28,Private,High School grad,Separated,White-Collar,Not-in-family,White,Female,0,0,36,United-States,<=50K
51,Private,Masters,Married,White-Collar,Husband,White,Male,0,0,40,United-States,>50K
28,Private,Bachelors,Never-Married,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
49,Local-gov,Masters,Married,Admin,Husband,Black,Male,0,0,40,United-States,<=50K
42,Local-gov,Masters,Married,White-Collar,Husband,White,Male,0,0,48,United-States,>50K
19,Private,Associates,Never-Married,Professional,Not-in-family,White,Female,0,0,50,United-States,<=50K
46,Private,Bachelors,Married,Blue-Collar,Not-in-family,White,Male,0,0,40,United-States,<=50K
20,Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,40,United-States,<=50K
50,Private,High School grad,Married,White-Collar,Husband,White,Female,0,0,40,United-States,>50K
50,State-gov,High School grad,Married,Sales,Husband,White,Male,0,0,48,United-States,>50K
41,Private,High School grad,Widowed,Blue-Collar,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,0,40,United-States,<=50K
57,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,40,United-States,<=50K
18,Private,High School grad,Never-Married,Service,Not-in-family,White,Male,0,0,15,United-States,<=50K
35,Private,Bachelors,Married,White-Collar,Husband,White,Male,7687,0,50,United-States,>50K
48,State-gov,Bachelors,Separated,Sales,Not-in-family,White,Male,0,0,60,*,>50K
25,Private,High School grad,Separated,White-Collar,Wife,White,Female,0,0,40,United-States,<=50K
38,Self-emp-not-inc,*,Never-Married,Professional,Husband,White,Male,0,0,54,United-States,>50K
41,Local-gov,High School grad,Married,Blue-Collar,Not-in-family,White,Male,0,0,40,*,<=50K
38,Private,Dropout,Married,Admin,Husband,White,Male,0,0,45,United-States,>50K
42,Private,High School grad,Separated,Blue-Collar,Not-in-family,Black,Female,0,0,40,United-States,<=50K
46,State-gov,High School grad,Separated,Blue-Collar,Wife,White,Female,0,0,40,United-States,<=50K
49,Private,Associates,Married,Service,Husband,White,Male,0,2540,40,United-States,<=50K
35,Private,Dropout,Separated,Service,Not-in-family,White,Female,0,0,30,*,<=50K
41,Self-emp-not-inc,Associates,Married,Blue-Collar,Wife,White,Female,0,0,65,United-States,<=50K
44,State-gov,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,Associates,Never-Married,Admin,Own-child,White,Female,0,0,40,*,<=50K
25,Private,Associates,Separated,Service,Husband,White,Male,0,0,40,United-States,<=50K
64,Private,Associates,Married,Blue-Collar,Husband,White,Female,0,0,20,United-States,<=50K
21,Private,High School grad,Never-Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,Bachelors,Married,Sales,Husband,White,Male,0,0,50,United-States,>50K
17,Private,Dropout,Never-Married,Service,Own-child,White,Male,0,0,20,United-States,<=50K
21,Private,High School grad,Never-Married,Service,Own-child,Black,Female,0,0,20,United-States,<=50K
45,Private,Bachelors,Married,Blue-Collar,Husband,White,Male,0,0,37,United-States,<=50K
49,Self-emp-not-inc,Dropout,Separated,Blue-Collar,Unmarried,White,Male,0,0,70,United-States,<=50K
25,Self-emp-not-inc,Dropout,Married,Other,Husband,White,Male,0,0,40,United-States,>50K
56,Self-emp-not-inc,Dropout,Married,Blue-Collar,Not-in-family,White,Male,0,0,40,United-States,<=50K
19,Local-gov,Dropout,Never-Married,Admin,Own-child,White,Female,0,0,10,*,<=50K
34,Private,High School grad,Married,Service,Husband,White,Male,0,1525,38,Latin-America,<=50K
24,Private,High School grad,Widowed,Blue-Collar,Wife,White,Female,0,0,40,United-States,<=50K
60,Private,Associates,Married,White-Collar,Husband,White,Male,0,0,35,United-States,>50K
63,Local-gov,Masters,Separated,Professional,Not-in-family,White,Male,0,0,40,United-States,>50K
32,Private,Associates,Never-Married,Professional,Wife,White,Female,0,0,40,United-States,>50K
42,State-gov,Bachelors,Separated,Blue-Collar,Husband,White,Male,0,0,60,*,<=50K
41,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States,<=50K
31,Local-gov,*,Married,Professional,Not-in-family,White,Male,0,0,50,Latin-America,>50K
